video_id,title,publishedAt,viewCount,likeCount
Fm0YKwJOy3o,Python Tutorial: Basics of cluster analysis,2020-04-19T02:15:42Z,4966,30
l_snAPa3x68,R Tutorial : Introduction to Portfolio Analysis in R,2020-04-19T02:14:25Z,1556,9
noCqp5TgeJ8,Python Tutorial: Data preparation for cluster analysis,2020-04-19T02:14:07Z,1839,11
6gpJUpMS7rI,Python Tutorial: Unsupervised learning: basics,2020-04-19T02:12:59Z,278,1
ea_goEa36vU,Python Tutorial: Diving into buckets,2020-04-19T02:08:40Z,843,5
uhhsigVPCjw,R Tutorial : Analyzing sentiment analysis results,2020-04-19T02:07:48Z,522,6
yRhysnsLvg0,R Tutorial : Differences by state,2020-04-19T02:06:20Z,75,0
SmilJDG4B_8,Python Tutorial: Intro to AWS and Boto3,2020-04-19T02:05:07Z,11944,103
-VVC7uTNJX8,Python Tutorial: Uploading and retrieving files,2020-04-19T02:04:26Z,623,0
Vri440t_KGc,R Tutorial : Sentiment analysis using an inner join,2020-04-19T02:03:46Z,196,2
LQmN-ARSuW0,R Tutorial : Sentiment Analysis in R: The Tidy Way,2020-04-19T02:01:21Z,806,8
gFTSiY-Buiw,Python Tutorial: Exploring and visualizing spatial data,2020-04-19T01:53:52Z,467,5
aHRqoaH0gvo,Python Tutorial: Geospatial data,2020-04-19T01:51:09Z,8065,96
fgxuyTKy_3E,Python Tutorial: Introduction to GeoPandas,2020-04-19T01:48:09Z,13156,110
L-DBzDnvjR8,Python Tutorial : Fundamentals of AI in Python,2020-04-19T01:45:18Z,2024,17
6f3wIQ0uAdM,R Tutorial: Gaussian mixture models (GMM),2020-04-19T01:42:00Z,7269,40
JumSb2fVtZI,Python Tutorial : Three flavors of Machine Learning,2020-04-19T01:41:44Z,109,1
AKCZYGwnCHY,R Tutorial: Gaussian distribution,2020-04-19T01:39:10Z,3601,17
FHxU2T_FVrg,Python Tutorial : All models are wrong but some are useful,2020-04-19T01:37:49Z,370,14
vC7QF1-JLwI,R Tutorial: Introduction to model-based clustering,2020-04-19T01:36:17Z,4450,34
8FR3MkrW3WI,PySpark Tutorial : Intro to data cleaning with Apache Spark,2020-04-19T01:29:17Z,5188,27
hAFRfnreTAo,PySpark Tutorial : Understanding Parquet,2020-04-19T01:27:02Z,41886,381
elliuZcli1w,R Tutorial: Other useful visualizing functions,2020-04-19T01:25:01Z,78,2
BUPQA8HB9nk,PySpark Tutorial : Immutability and Lazy Processing,2020-04-19T01:24:58Z,590,5
Hybo-O8dIDw,R Tutorial: Refresher on xts and the plot() function Arnaud Amsellem The R Trader,2020-04-19T01:24:43Z,711,6
dojvunTCKB4,R Tutorial: Benchmarking,2020-04-19T01:13:46Z,1270,11
sGxu9rFdjbU,R Tutorial: How good is your machine?,2020-04-19T01:12:33Z,66,1
J3FPJFEPn5Y,R Tutorial: Writing Efficient R Code | Intro,2020-04-19T01:11:18Z,602,1
MkVinjJhlbI,Python Tutorial: Combine data from multiple worksheets,2020-04-19T01:07:03Z,5690,25
AiUs1X2ra7M,Python Tutorial: Read data from Excel worksheets,2020-04-19T01:05:27Z,13537,65
xMi5BSsCU_0,"Python Tutorial: Reading, inspecting, & cleaning data from csv files",2020-04-19T01:03:26Z,9156,86
tKbFwyNDJj4,R Tutorial: Wrapping up the zombie analysis,2020-04-19T00:56:58Z,37,0
9zMurc7E5t0,R Tutorial: Fundamentals of Bayesian Data Analysis in R | Samples and posterior summaries,2020-04-19T00:55:04Z,2423,12
IqMzYTOf6H0,R Tutorial: A first taste of Bayes,2020-04-19T00:52:01Z,211,0
FmzgKXV53-w,R Tutorial: Let's try some Bayesian data analysis,2020-04-19T00:48:27Z,1908,18
mQVaIHE9ePU,Python Tutorial: Human Resources Analytics: Predicting Employee Churn in Python | Intro,2020-04-19T00:40:32Z,3725,29
FrkYfM7iBWs,Python Tutorial: Transforming categorical variables,2020-04-19T00:38:42Z,2589,9
OxexmZIJRLE,Python Tutorial: Descriptive Statistics,2020-04-19T00:37:13Z,104,1
OzCScxBHiJU,Course Creation at DataCamp: Course Development,2020-04-18T15:37:32Z,195,0
5HaF04I8ZIs,Course Creation at DataCamp: Welcome to DataCamp!,2020-04-18T15:34:46Z,95,0
czd9a2Rc-h4,PySpark Tutorial : Connecting to Spark,2020-04-18T15:26:52Z,5385,45
HRbMcdbSDQI,PySpark Tutorial : Machine Learning & Spark,2020-04-18T15:24:40Z,221,3
jvP_uAiIY_c,PySpark Tutorial : Loading Data,2020-04-18T15:23:10Z,1477,12
lFzwZiLV21U,Spreadsheets Tutorial: Data types for data science,2020-04-18T10:56:18Z,143,1
vLrQbNeYH3M,Spreadsheets Tutorial: Intermediate Spreadsheets | Convert or die!,2020-04-18T10:55:50Z,110,0
jaYHTBjzUnk,Python Tutorial : Constants and variables,2020-04-18T10:51:03Z,605,1
dlOaqZwQ1Co,Python Tutorial : Basic operations,2020-04-18T10:48:21Z,97,1
e2X0uD_eoHY,Python Tutorial : Advanced operations,2020-04-18T10:45:18Z,64,0
SY_vYDMj0TY,Course Creation at DataCamp: Course Design,2020-04-18T10:39:52Z,98,0
aSdFoalnMkA,Python Tutorial : Adding a third variable with hue,2020-04-18T10:26:04Z,1699,15
FEpSlO7X8P0,R Tutorial: Descriptive Statistics,2020-04-18T10:25:08Z,3773,8
sa8p5p376C8,Python Tutorial : Introduction to Seaborn,2020-04-18T10:24:09Z,4735,99
5NGmTtx51Zg,R Tutorial: Data Restructuring and Correlations,2020-04-18T10:22:57Z,439,1
dS0YZiVS0r8,R Tutorial: Introduction to Longitudinal Data,2020-04-18T10:20:48Z,8170,42
